                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.48452,                0.50382,                0.93396,                0.49732,                    0.9,                0.72937,                0.63592,                0.64805,                 1.5617,                 1.0372,              0.0055945,              0.0055945,              0.0055945
                     92,                0.51497,                0.55074,                0.90978,                0.78473,                    0.6,                0.77925,                0.61841,                0.67101,                 1.3353,                 1.0218,               0.005545,               0.005545,               0.005545
                     93,                0.54114,                0.76698,                0.96643,                0.78473,                    0.6,                0.77925,                0.61841,                0.67101,                 1.3353,                 1.0218,              0.0054955,              0.0054955,              0.0054955
                     94,                0.54992,                0.50177,                0.92948,                0.72611,                    0.7,                0.81476,                0.66149,                0.65861,                  1.163,                0.99733,               0.005446,               0.005446,               0.005446
                     95,                0.60566,                 0.8943,                 1.0275,                0.75225,                    0.7,                0.79757,                0.67321,                  0.676,                0.97021,                 1.0221,              0.0053965,              0.0053965,              0.0053965
                     96,                0.71942,                0.83189,                 1.0281,                0.69001,                    0.9,                0.76725,                0.66478,                0.65905,                0.93029,                 1.0111,               0.005347,               0.005347,               0.005347
                     97,                0.69204,                0.82715,                  1.075,                0.69001,                    0.9,                0.76725,                0.66478,                0.65905,                0.93029,                 1.0111,              0.0052975,              0.0052975,              0.0052975
                     98,                0.56669,                0.60637,                0.94308,                0.73774,                0.84606,                0.73458,                0.66403,                0.64747,                 1.0254,                 1.0328,               0.005248,               0.005248,               0.005248
                     99,                0.50042,                0.52367,                0.93206,                0.80091,                    0.9,                0.77203,                0.68574,                 0.6373,                 1.0537,                 1.0487,              0.0051985,              0.0051985,              0.0051985
                    100,                0.61755,                0.52646,                0.98578,                 0.8113,                0.86215,                0.75341,                0.67045,                0.65162,                   1.15,                 1.0854,               0.005149,               0.005149,               0.005149
                    101,                0.52834,                0.48459,                0.88503,                 0.8113,                0.86215,                0.75341,                0.67045,                0.65162,                   1.15,                 1.0854,              0.0050995,              0.0050995,              0.0050995
                    102,                0.73409,                0.70783,                 1.0822,                0.71737,                    0.9,                0.75341,                0.62557,                0.66305,                 1.1584,                 1.1172,                0.00505,                0.00505,                0.00505
