                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                0.61797,                0.56707,                 1.0475,                0.55777,                    0.9,                0.68479,                0.62469,                0.63334,                 1.5083,                0.98165,              0.0003367,              0.0003367,              0.0003367
                    137,                0.47767,                0.47766,                0.90714,                0.55777,                    0.9,                0.68479,                0.62469,                0.63334,                 1.5083,                0.98165,             0.00033175,             0.00033175,             0.00033175
                    138,                0.44534,                0.51802,                0.92171,                0.55791,                    0.9,                0.72155,                0.64997,                0.63175,                 1.4603,                0.98098,              0.0003268,              0.0003268,              0.0003268
                    139,                0.57192,                0.51617,                 1.0019,                0.55752,                    0.9,                0.74887,                0.64746,                0.62851,                 1.3102,                0.98264,             0.00032185,             0.00032185,             0.00032185
                    140,                0.52976,                0.48818,                0.99833,                0.55746,                    0.9,                0.74929,                0.63495,                 0.6252,                  1.156,                 0.9835,              0.0003169,              0.0003169,              0.0003169
                    141,                0.57884,                 0.4539,                0.93251,                0.55746,                    0.9,                0.74929,                0.63495,                 0.6252,                  1.156,                 0.9835,             0.00031195,             0.00031195,             0.00031195
                    142,                0.47701,                0.39152,                0.98795,                0.62526,                    0.8,                0.73663,                0.64308,                0.61142,                 1.0843,                 0.9797,               0.000307,               0.000307,               0.000307
                    143,                0.52442,                0.49056,                0.94937,                 0.6452,                    0.7,                0.76264,                0.66405,                 0.6015,                 1.0976,                0.97405,             0.00030205,             0.00030205,             0.00030205
                    144,                0.49663,                0.38959,                0.93081,                0.63603,                    0.7,                0.73167,                0.63521,                0.58174,                 1.1323,                0.96509,              0.0002971,              0.0002971,              0.0002971
                    145,                0.50377,                0.49843,                0.95836,                0.63603,                    0.7,                0.73167,                0.63521,                0.58174,                 1.1323,                0.96509,             0.00029215,             0.00029215,             0.00029215
                    146,                0.50798,                 0.5228,                0.96989,                0.69592,                    0.7,                0.74076,                0.64135,                0.59106,                 1.1783,                0.96637,              0.0002872,              0.0002872,              0.0002872
                    147,                0.42458,                0.49763,                0.93643,                0.66764,                    0.7,                0.70653,                 0.6178,                0.62849,                  1.292,                0.97648,             0.00028225,             0.00028225,             0.00028225
                    148,                0.61375,                0.51778,                 1.1138,                0.67914,                0.63743,                0.69857,                0.61297,                0.65933,                 1.5516,                  0.997,              0.0002773,              0.0002773,              0.0002773
                    149,                0.56875,                0.50577,                 1.0528,                0.67914,                0.63743,                0.69857,                0.61297,                0.65933,                 1.5516,                  0.997,             0.00027235,             0.00027235,             0.00027235
                    150,                 0.5123,                0.45233,                0.97608,                0.67826,                0.63477,                0.66772,                0.58728,                0.63226,                 1.6457,                 1.0024,              0.0002674,              0.0002674,              0.0002674
                    151,                0.67291,                0.55645,                 1.1495,                0.68044,                    0.6,                0.65564,                0.58129,                0.63054,                 1.7698,                0.99083,             0.00026245,             0.00026245,             0.00026245
